item_number,name_he,excel_name
"JI-J4QCLED","טורבינה ראש מיני עם אור J4QC","jinme j4"
"JI-J5","טורבינה 4 חוריםGENERATOR LED J5","jinme j5"
"JI-J5QC","טורבינה 4  חוריםGENERATOR  LED J5 חיבור מהיר","jinme j5"
"JI-CA15L","זויתן מגביר מהירות JINME 1:5  F.O","jinme 1 : 5 handpiece"
"JI-CA15LM","זויתן JINME 1:5  F.O ראש קטן","jinme 1 : 5 handpiece"
"JI-J1PLUS","טורבינה JINME J1 PLUS ללא אור","jinme j1 plus"
"JI-J45LED","טורבינה כירורגית 45 מעלות 4 חורים  LED","jinme j45"
"JI-J45LEDQC","טורבינה כירורגית 45 מעלות 4 חורים LED עם חיבור מהיר","jinme j45"
"JI-J45TU","טורבינה כירורגית 45 מעלות 4 חורים ללא אור","jinme j45"
"MK-HC20KL","טורבינה Mk-Dent CLASSIC LINE עם תאורה FO חיבור KAVO","Mk - Dent classic line"
"MK-HP21KL","טורבינה MK-dent PRIME LINE עם תאורה FO, חיבור KAVO","Mk-DENT Prime line"
"MK-HP21SL","טורבינה Mk-Dent PRIME LINE עם תאורה FO, חיבור SIRONA","Mk-DENT Prime line"
"MK-HP21NL","טורבינה Mk-Dent PRIME LINE עם תאורה FO, חיבור NSK","Mk-DENT Prime line"
"MK-HP21WL","טורבינה Mk Dent PRIME LINE עם תאורה FO, חיבור W&H","Mk-DENT Prime line"
"MK-HP22KL","טורבינה MK DENT PRIME LINE עם תאורה FO, ראש קטן חיבור KAVO","Mk-DENT Prime line"
"JI-CA11L","זויתן JINME FO L1:1 עם אור פייבר אופטי","jinme 1:1 fiber optic"
"JI-CA201L","זוויתן השתלות 20:1 פייבר אופטי JINME","jinme 20 : 1 contra angle handpiece (FO)"
"AG-6950C","anthogyr SAFE RELAX חולץ כתרים/גשרים אוטומטי","Safe Relax"
"AG-6961C","anthogyr SAFE RELAX חולץ כתרים/גשרים אוטומטי","Safe Relax"
"JI-J6K","טורבינה JINME J6 חיבור KAVO","jinme j6"
"JI-J6N","טורבינה JINME J6 חיבור NSK","jinme j6"
"LED-10100.301","Electrosurgical Unit SURTRON 160 BIPOLAR","Surtron 80/120/160"
"LE-10100.051","Electrosurgical Unit SURTRON 50 D","Surtron 50d"
"LE-10100.081","Electrosurgical Unit SURTRON 80 D","Surtron 80d"
"MK-SC21E","ידית לסקילר MK-dentGERMANY תואם EMS","MK - DENT  (EMS) - Scaler handpiece"
"MK-SC21S","ידית לסקילר MK-dentGERMANY תואם SATELEC","MK - DENT (Satalec) - Scaler handpiec"
"MK-SC21EL","ידית לסקילר MK-dentGERMANY תואם EMS עם תאורת LED","MK - DENT (EMS)- Scaler handpiece (with light)"
"MK-SC21SL","ידית לסקילר MK-dentGERMANY תואם SATELEC עם תאורת LED","MK - DENT  satalec - Scaler handpiece (with light)"
"CN-KEY SAT","מפתח טורק לטיפים","Scaler Torque key"
"SC-I-EM","טיפ EMS חברת SCORPION - אוניברסלי","טיפ אוניברסלי לסקילר"
"WP-P1","טיפ פריו P1 לסקיילר תואם  EMS","טיפ פריו לסקילר"
"JI-CA142EWL","זויתן JINME 1:4.2 מעלות 45 מים חיצוניים","Jinme 1:4.2 Contra angle"
"JI-CA142IWL","זויתן JINME 1:4.2 מעלות 45 מים פנימיים","Jinme 1:4.2 Contra angle"
"JI-M1","מנוע אוויר JINME מים חיצונים","jinme air motor"
"JI-EM","מנוע חשמלי JINME","jinme External electric motor set"
"JI-EM","מנוע חשמלי JINME","jinme Internal electric motor set"
"JI-QCK","חיבור מהיר JINME תואם KAVO עם LED קבוע","jinme - Kavo Quick connector"
"JI-QCN","חיבור מהיר JINME לטורבינות NSK עם LED קבוע","jinme - NSK Quick connector"
"w&h-r924","חיבור מהיר פיבר אופטיק W&H","Mk-dent - W&H Quick connector"
"SA-SIP10","פיזיודיספנסר SAESHIN Traus SIP10 כולל זויתן","Saeshin Traus sip 10 - implant motor set (NON - OPTIC)"
"SA-SIP20","פיזיודיספנסר SAESHIN Traus SIP20 עם אור כולל זויתן","Saeshin Traus sip 20 - implant motor set(optic)"
"SA-SUS20","Traus Piezo SUS20","Traus SuS 20 - piezoSurgery"
"SA-FORTE400P","מנוע טכני SEASHIN FORTE 400P","Forte 400 p"
"SA-SP-E1","Extraction Piezo Tip","extraction tip"
"SA-SP-E1L","Piezo Tip - Extraction E1 Left","block bone/ridge expension (Left)"
"SA-SP-E1R","Piezo Tip - Extraction E1 Right","block bone/ridge expension (Right)"
"SA-SP-401D","Piezo Tip - Sinus Lift","Sinus Lifting (Ball)"
"SA-SP-SAWR","Rounded MICRO-SAW, Bone blockGrafting","block bone/ridge expension (RD)"
"SA-SP-SAW","Powerful bone surgery, Bone blockGrafting RS2","block bone/ridge expension"
"JI-CA201","זויתן השתלות 20:1 JINME ללא אור","jinme 20 : 1 contra angle handpiece"
"YE-C200","אבמטיה אולטרסוניק YESON C200","Yeson Ultrasonic cleaner"
"YE-E1","אוטוקלב YESON 3L Class B","autoclave (3L)"
