id,item_number,name_he,excel_name,description_he,image_url,was_active
"4c1f852b-e9ae-4d7f-96af-d02d2fb95cda","FG151L-Z","מקדח זכריה 28mm - חבילה 5 יח","FG151L-Z","-28אורך פעיל 11 מ""מ","","true"
"dd3a915e-06ef-45b6-b04d-32987708ce31","FG152-016","מקדח טונגסטן - ENDO Access safe end - יח 5","FG152-016","אורך פעיל - 9 מ""מ","","true"
"99a25a09-eb7a-43c8-a601-c96ee61d349b","HP.TC4","מקדח טונגסטן לידיתן HP","HP.TC00004","4","","true"
"06ff9835-aa83-46a9-9c18-f98db97b731f","HP.TC6","מקדח טונגסטן לידיתן HP","HP.TC00006","6","","true"
"cba0c36d-51a1-457a-90f5-0d7a183db25f","HP.TC557","מקדח טונגסטן לידיתן HP","HP.TC00557","557אורך פעיל - 3.8 מ""מ","","true"
"da20db8d-78a3-43fd-b5da-2ba8a6991a13","HP.TC701","מקדח טונגסטן לידיתן HP","HP.TC00701","701אורך פעיל - 4.9 מ""מ","","true"
"93d310c2-f545-4c0d-a37a-789dea594029","HP.TC702","מקדח טונגסטן לידיתן HP","HP.TC00702","702אורך פעיל - 4.3 מ""מ","","true"
"21723625-26b6-421b-b91b-74d90c94fa64","HP001-033M","מקדח יהלום לידיתן","HP001-033M","","","true"
"a4304f06-8496-4bd5-92a2-9a9979294702","HP001-050M","מקדח יהלום לידיתן","HP001-050M","14","","true"
"3ee336bf-bd4f-4dd5-aa13-b7e2f41d1c73","HP010-027M","מקדח יהלום לידיתן","HP010-027M","16","","true"
"79f85690-c6c1-43fd-95b1-a4030678cba7","HP019-045C","מקדח יהלום לידיתן","HP019-045C","","","true"
"7e3ee394-9103-429b-84a4-08dde57f40c1","HP112-040M","מקדח יהלום לידיתן","HP112-040M","","","true"
"97fa8979-881a-443f-9111-a0851c6d2833","HP167-012LM","מקדח יהלום לידיתן","HP167-012LM","","","true"
"8ce1b31e-5bea-410a-8980-eb3e54417e16","HP172-033M","מקדח יהלום לידיתן","HP172-033M","27","","true"
"e01706c7-3bc1-47e5-b2c7-717a04dd64d8","HP250-027M","מקדח יהלום לידיתן","HP250-027M","25","","true"
"447b5902-5d55-41ec-ab83-b01ae980f6c0","KITPLC","ערכת גומיות לזויתן לליטוש קומפוזיט עם בסיס עמיד באוטוקלאב","KITPLC","","","true"
"fc36b109-583c-4b55-bc41-c30b3ac9078a","KITPLL","ערכת גומיות לזויתן לליטוש חרסינה ו- E-MAX  עם בסיס עמיד באוטוקלאב","KITPLL","","","true"
"b80f2a0a-a324-45e7-91c5-3bd03c6315a7","KITPLU","ערכת גומיות לזויתן לליטוש מתכות ואמלגם  עם בסיס עמיד באוטוקלאב","KITPLU","","","true"
"9dc66547-3356-42e0-b3e7-394da2d06e38","KITPLZ","ערכת גומיות לזויתן לליטוש זירקוניה עם בסיס עמיד באוטוקלאב","KITPLZ","","","true"
"dbe57b7a-7cd6-4cee-a9d0-b4ffceaa2c34","R04-350PS-514-220","דיסק דו-צדדי לעיבוד וחיתוך אקריל","R04 350PS-514-220","350 -220-030","","true"
"a2d65713-181d-496b-b364-697f4f655579","R04-355-504-220","דיסק דו-צדדי לעיבוד וחיתוך אקריל","R04 355-504-220","355-220-017","","true"
"87fb89c1-57ea-480c-a070-89c8fe383ad8","R04-355-514-220","דיסק לעיבוד וחיתוך אקריל","R04 355-514-220","","","true"
"ac6cf4ff-3507-40d0-afc0-1c5bbe02328f","R04-355-524-220","דיסק לעיבוד וחיתוך אקריל","R04 355-524-220","","","true"
